Fecha,Punto,total
1/8/2023,Pozo Peine,69.0
1/9/2023,Pozo Peine,74.0
1/10/2023,Pozo Peine,90.0
1/11/2023,Pozo Peine,48.0
1/12/2023,Pozo Peine,58.0
1/1/2024,Pozo Peine,92.0
1/2/2024,Pozo Peine,96.0
1/3/2024,Pozo Peine,65.0
1/4/2024,Pozo Peine,64.0
1/5/2024,Pozo Peine,98.0
1/6/2024,Pozo Peine,243.0
1/7/2024,Pozo Peine,119.0
1/8/2024,Pozo Peine,167.0
1/9/2024,Pozo Peine,129.0
1/10/2024,Pozo Peine,112.0
1/11/2024,Pozo Peine,122.0
1/12/2024,Pozo Peine,92.0
1/1/2019,Pozo Peine,528.0
1/2/2019,Pozo Peine,608.0
1/3/2019,Pozo Peine,755.0
1/4/2019,Pozo Peine,864.0
27/4/2019,Pozo Peine,5380.0
1/5/2019,Pozo Peine,5446.0
1/6/2019,Pozo Peine,5522.0
1/7/2019,Pozo Peine,5567.0
1/8/2019,Pozo Peine,5651.0
1/9/2019,Pozo Peine,5737.0
1/10/2019,Pozo Peine,5847.0
1/11/2019,Pozo Peine,6052.0
1/12/2019,Pozo Peine,6144.0
1/1/2020,Pozo Peine,6427.0
1/2/2020,Pozo Peine,6522.0
1/3/2020,Pozo Peine,6592.0
1/4/2020,Pozo Peine,6649.0
1/5/2020,Pozo Peine,6701.0
1/6/2020,Pozo Peine,6763.0
1/7/2020,Pozo Peine,6836.0
1/8/2020,Pozo Peine,6902.0
1/9/2020,Pozo Peine,6969.0
1/10/2020,Pozo Peine,7016.0
1/11/2020,Pozo Peine,7072.0
1/12/2020,Pozo Peine,7125.0
1/1/2021,Pozo Peine,7185.0
1/2/2021,Pozo Peine,7246.0
1/3/2021,Pozo Peine,7306.0
1/4/2021,Pozo Peine,7378.0
1/5/2021,Pozo Peine,7418.0
1/6/2021,Pozo Peine,7467.0
1/7/2021,Pozo Peine,7505.0
1/8/2021,Pozo Peine,7558.0
1/9/2021,Pozo Peine,7595.0
1/10/2021,Pozo Peine,7667.0
1/11/2021,Pozo Peine,7715.0
1/12/2021,Pozo Peine,7762.0
1/1/2022,Pozo Peine,7813.94
1/2/2022,Pozo Peine,7833.0
1/3/2022,Pozo Peine,7967.29
1/4/2022,Pozo Peine,8051.0
1/5/2022,Pozo Peine,8157.0
1/6/2022,Pozo Peine,8218.0
1/7/2022,Pozo Peine,8302.0
1/8/2022,Pozo Peine,8385.0
23/8/2022,Pozo Peine,2369.0
1/9/2022,Pozo Peine,2525.0
1/10/2022,Pozo Peine,2624.0
1/11/2022,Pozo Peine,2768.0
1/12/2022,Pozo Peine,2819.0
14/12/2022,Pozo Peine,87.0
1/1/2023,Pozo Peine,230.0
1/2/2023,Pozo Peine,353.94
1/3/2023,Pozo Peine,509.97
1/4/2023,Pozo Peine,621.0
1/5/2023,Pozo Peine,757.0
1/6/2023,Pozo Peine,867.0
1/7/2023,Pozo Peine,960.0
1/8/2023,Pozo Peine,1029.0
1/9/2023,Pozo Peine,1103.0
1/10/2023,Pozo Peine,1193.0
1/11/2023,Pozo Peine,1241.0
1/12/2023,Pozo Peine,1299.0
1/1/2024,Pozo Peine,1391.0
1/2/2024,Pozo Peine,1487.0
1/3/2024,Pozo Peine,1562.0
1/4/2024,Pozo Peine,1626.39
1/5/2024,Pozo Peine,1646.6
17/5/2024,Pozo Peine,78.0
1/6/2024,Pozo Peine,321.0
1/7/2024,Pozo Peine,439.58
1/8/2024,Pozo Peine,606.77
1/9/2024,Pozo Peine,736.16
1/10/2024,Pozo Peine,848.49
1/11/2024,Pozo Peine,970.7
1/12/2024,Pozo Peine,1062.57
1/1/2019,Pozo Peine,404.0
1/2/2019,Pozo Peine,528.0
1/3/2019,Pozo Peine,608.0
1/4/2019,Pozo Peine,755.0
27/4/2019,Pozo Peine,5368.0
1/5/2019,Pozo Peine,5380.0
1/6/2019,Pozo Peine,5446.0
1/7/2019,Pozo Peine,5522.0
1/8/2019,Pozo Peine,5567.0
1/9/2019,Pozo Peine,5651.0
1/10/2019,Pozo Peine,5737.0
1/11/2019,Pozo Peine,5847.0
1/12/2019,Pozo Peine,6052.0
1/1/2020,Pozo Peine,6144.0
1/2/2020,Pozo Peine,6427.0
1/3/2020,Pozo Peine,6522.0
1/4/2020,Pozo Peine,6592.0
1/5/2020,Pozo Peine,6649.0
1/6/2020,Pozo Peine,6701.0
1/7/2020,Pozo Peine,6763.0
1/8/2020,Pozo Peine,6836.0
1/9/2020,Pozo Peine,6902.0
1/10/2020,Pozo Peine,6969.0
1/11/2020,Pozo Peine,7016.0
1/12/2020,Pozo Peine,7072.0
1/1/2021,Pozo Peine,7125.0
1/2/2021,Pozo Peine,7185.0
1/3/2021,Pozo Peine,7246.0
1/4/2021,Pozo Peine,7306.0
1/5/2021,Pozo Peine,7378.0
1/6/2021,Pozo Peine,7418.0
1/7/2021,Pozo Peine,7467.0
1/8/2021,Pozo Peine,7505.0
1/9/2021,Pozo Peine,7558.0
1/10/2021,Pozo Peine,7595.0
1/11/2021,Pozo Peine,7667.0
1/12/2021,Pozo Peine,7715.0
1/1/2022,Pozo Peine,7762.48
1/2/2022,Pozo Peine,7813.94
1/3/2022,Pozo Peine,7833.0
1/4/2022,Pozo Peine,7967.29
1/5/2022,Pozo Peine,8051.0
1/6/2022,Pozo Peine,8157.0
1/7/2022,Pozo Peine,8218.0
1/8/2022,Pozo Peine,8302.0
23/8/2022,Pozo Peine,2318.0
1/9/2022,Pozo Peine,2369.0
1/10/2022,Pozo Peine,2525.0
1/11/2022,Pozo Peine,2624.0
1/12/2022,Pozo Peine,2768.0
14/12/2022,Pozo Peine,0.0
1/1/2023,Pozo Peine,87.0
1/2/2023,Pozo Peine,230.0
1/3/2023,Pozo Peine,353.94
1/4/2023,Pozo Peine,509.97
1/5/2023,Pozo Peine,621.0
1/6/2023,Pozo Peine,757.0
1/7/2023,Pozo Peine,867.0
1/8/2023,Pozo Peine,960.0
1/9/2023,Pozo Peine,1029.0
1/10/2023,Pozo Peine,1103.0
1/11/2023,Pozo Peine,1193.0
1/12/2023,Pozo Peine,1241.0
1/1/2024,Pozo Peine,1299.0
1/2/2024,Pozo Peine,1391.0
1/3/2024,Pozo Peine,1497.0
1/4/2024,Pozo Peine,1562.0
1/5/2024,Pozo Peine,1626.39
17/5/2024,Pozo Peine,0.0
1/6/2024,Pozo Peine,78.0
1/7/2024,Pozo Peine,321.0
1/8/2024,Pozo Peine,439.58
1/9/2024,Pozo Peine,606.77
1/10/2024,Pozo Peine,736.16
1/11/2024,Pozo Peine,848.49
1/12/2024,Pozo Peine,970.7
