Fecha,reinyeccion directa,reinyeccion indirecta,total,Punto
1/4/2021,0,285362,285362,SOP
1/5/2021,0,355714,355714,SOP
1/6/2021,0,380957,380957,SOP
1/7/2021,0,378923,378923,SOP
1/8/2021,0,414608,414608,SOP
1/9/2021,0,222335,222335,SOP
1/10/2021,0,230021,230021,SOP
1/11/2021,0,326459,326459,SOP
1/12/2021,0,416175,416175,SOP
1/1/2022,0,330107,330107,SOP
1/2/2022,0,359531,359531,SOP
1/3/2022,0,344888,344888,SOP
1/4/2022,0,347341,347341,SOP
1/5/2022,0,305723,305723,SOP
1/6/2022,0,294655,294655,SOP
1/7/2022,0,421320,421320,SOP
1/8/2022,0,349155,349155,SOP
1/9/2022,0,252987,252987,SOP
1/10/2022,0,209266,209266,SOP
1/11/2022,0,205826,205826,SOP
1/12/2022,0,153458,153458,SOP
1/1/2023,0,211428,211428,SOP
1/2/2023,0,236604,236604,SOP
1/3/2023,0,311072,311072,SOP
1/4/2023,0,195497,195497,SOP
1/5/2023,0,211741,211741,SOP
1/6/2023,0,202761,202761,SOP
1/7/2023,0,214444,214444,SOP
1/8/2023,0,214213,214213,SOP
1/9/2023,0,202839,202839,SOP
1/10/2023,0,331897,331897,SOP
1/11/2023,0,300316,300316,SOP
1/12/2023,0,254680,254680,SOP
1/1/2024,0,171342,171342,SOP
1/2/2024,0,264568,264568,SOP
1/3/2024,0,322454,322454,SOP
1/4/2024,47217,242142,289359,SOP
1/5/2024,0,182864,182864,SOP
1/6/2024,0,47680,47680,SOP
1/7/2024,561021,163492,724513,SOP
1/8/2024,61246,24458,85704,SOP
