Fecha,reinyeccion directa,reinyeccion indirecta,total,Punto
1/3/2021,0,268071,268071,MOP
1/4/2021,0,389322,389322,MOP
1/5/2021,0,388097,388097,MOP
1/6/2021,0,403573,403573,MOP
1/7/2021,0,404025,404025,MOP
1/8/2021,0,405355,405355,MOP
1/9/2021,0,378286,378286,MOP
1/10/2021,0,404688,404688,MOP
1/11/2021,0,349105,349105,MOP
1/12/2021,0,419298,419298,MOP
1/1/2022,0,410709,410709,MOP
1/2/2022,0,344176,344176,MOP
1/3/2022,0,317179,317179,MOP
1/4/2022,0,332309,332309,MOP
1/5/2022,0,63243,63243,MOP
1/6/2022,0,-528,-528,MOP
1/7/2022,0,67971,67971,MOP
1/8/2022,0,377019,377019,MOP
1/9/2022,0,405314,405314,MOP
1/10/2022,0,379546,379546,MOP
1/11/2022,0,107620,107620,MOP
1/12/2022,0,-1733,-1733,MOP
1/1/2023,0,-1289,-1289,MOP
1/2/2023,0,-873,-873,MOP
1/3/2023,0,51332,51332,MOP
1/4/2023,0,343356,343356,MOP
1/5/2023,0,394279,394279,MOP
1/6/2023,0,369143,369143,MOP
1/7/2023,0,343520,343520,MOP
1/8/2023,0,411293,411293,MOP
1/9/2023,0,202839,202839,MOP
1/10/2023,0,331897,331897,MOP
1/11/2023,0,300316,300316,MOP
1/12/2023,0,254680,254680,MOP
1/1/2024,0,171342,171342,MOP
1/2/2024,0,264568,264568,MOP
1/3/2024,0,322454,322454,MOP
1/4/2024,0,242142,242142,MOP
1/5/2024,0,182864,182864,MOP
1/6/2024,0,47680,47680,MOP
1/7/2024,0,163492,163492,MOP
1/8/2024,0,39432,39432,MOP
