Fecha,reinyeccion directa,reinyeccion indirecta,total,Punto
01/04/2019,0,346672,346672.00,MOP
01/05/2019,0,374346,374346.00,MOP
01/06/2019,0,331746,331746.00,MOP
01/07/2019,0,370175,370175.00,MOP
01/08/2019,0,343904,343904.00,MOP
01/09/2019,0,381053,381053.00,MOP
01/10/2019,0,293880,293880.00,MOP
01/11/2019,0,349217,349217.00,MOP
01/12/2019,0,379904,379904.00,MOP
01/01/2020,0,272261,272261.00,MOP
01/02/2020,0,186263,186263.00,MOP
01/03/2020,0,379330,379330.00,MOP
01/04/2020,0,375546,375546.00,MOP
01/05/2020,0,387705,387705.00,MOP
01/06/2020,0,409769,409769.00,MOP
01/07/2020,0,400747,400747.00,MOP
01/08/2020,0,370665,370665.00,MOP
01/09/2020,0,384505,384505.00,MOP
01/10/2020,0,412844,412844.00,MOP
01/11/2020,0,385970,385970.00,MOP
01/12/2020,0,425220,425220.00,MOP
01/01/2021,0,414847,414847.00,MOP
01/02/2021,0,177670,177670.00,MOP
01/03/2021,0,268071,268071.00,MOP
01/04/2021,0,389322,389322.00,MOP
01/05/2021,0,388097,388097.00,MOP
01/06/2021,0,403573,403573.00,MOP
01/07/2021,0,404025,404025.00,MOP
01/08/2021,0,405355,405355.00,MOP
01/09/2021,0,378286,378286.00,MOP
01/10/2021,0,404688,404688.00,MOP
01/11/2021,0,349105,349105.00,MOP
01/12/2021,0,419298,419298.00,MOP
01/01/2022,0,410709,410709.00,MOP
01/02/2022,0,344176,344176.00,MOP
01/03/2022,0,317179,317179.00,MOP
01/04/2022,0,332309,332309.00,MOP
01/05/2022,0,63243,63243.00,MOP
01/06/2022,0,-528.00,-528.00,MOP
01/07/2022,0,67971,67971.00,MOP
01/08/2022,0,377019,377019.00,MOP
01/09/2022,0,405314,405314.00,MOP
01/10/2022,0,379546,379546.00,MOP
01/11/2022,0,107620,107620.00,MOP
01/12/2022,0,-1733,-1733.00,MOP
01/01/2023,0,-1289,-1289.00,MOP
01/02/2023,0,-873,-873.00,MOP
01/03/2023,0,51332,51332.00,MOP
01/04/2023,0,343356,343356.00,MOP
01/05/2023,0,394279,394279.00,MOP
01/06/2023,0,369143,369143.00,MOP
01/07/2023,0,343520,343520.00,MOP
01/08/2023,0,411293,411293.00,MOP
01/09/2023,0,202839,202839.00,MOP
01/10/2023,0,331897,331897.00,MOP
01/11/2023,0,300316,300316.00,MOP
01/12/2023,0,254680,254680.00,MOP
01/01/2024,0,171342,171342.00,MOP
01/02/2024,0,264568,264568.00,MOP
01/03/2024,0,322454,322454.00,MOP
01/04/2024,0,242142,242142.00,MOP
01/05/2024,0,182864,182864.00,MOP
01/06/2024,0,47680,47680.00,MOP
01/07/2024,0,163492,163492.00,MOP
01/08/2024,0,39432,39432.00,MOP
