Pozo,AIC_Modelo_A,BIC_Modelo_A,AIC_Modelo_B,BIC_Modelo_B,AIC_Modelo_C,BIC_Modelo_C,AIC_Modelo_E,BIC_Modelo_E
LM-08,-506.0304294184251,-487.1813283584262,-498.9380620679434,-473.8059273212782,-497.3915065917789,-472.2593718451137,-507.98789355229997,-470.28969143230216
LM-09,-494.2913246992048,-473.08094525899844,-504.9361611782434,-476.6556552579683,-486.2891062182257,-458.0086002979506,-513.2153333172179,-470.7945744368052
LM-10,-451.2607725789311,-430.7707775077866,-458.9580803077095,-431.63808687951683,-439.020436055008,-411.70044262681535,-438.819164326459,-397.83917418416996
LM-17,-194.1182235578239,-178.26742251658186,-198.09660961855542,-176.96220823023268,-212.766911972692,-191.63251058436924,-231.552509781761,-199.85090769927686
MP-07A,-667.4115266074197,-644.1468192993846,-622.9045619855743,-591.8849522415275,-662.8841094858435,-631.8644997417966,-651.5899378790494,-605.0605232629791
MP-07C-1,-661.658625427728,-638.7689723872979,-633.253787544939,-602.734250157699,-699.5425877440823,-669.0230503568423,-690.5298037944679,-644.7504977136077
MP-08A,-714.1901732148019,-690.1347137046448,-708.2574489023676,-676.1835028888247,-743.0181539762946,-710.9442079627518,-711.3481137206636,-663.2371947003493
MPS-AA,-926.0893283052234,-900.8531389026241,-897.6406912238034,-863.9924386870043,-935.6143959940576,-901.9661434572586,-914.9111027396037,-864.4387239344051
MPS-AB,-901.477686953357,-876.3155720429863,-907.5093651214571,-873.9598785742962,-906.3857593048156,-872.8362727576547,-909.6452257979647,-859.3209959772233
MPS-AC,-894.240082445926,-869.0779675355553,-889.7725757265222,-856.2230891793613,-899.5917778594832,-866.0422913123223,-889.8314287326634,-839.507198911922
MPS-CA,-549.1762735801632,-524.1641621421594,-544.6026250401128,-511.2531431227744,-553.0319278660382,-519.6824459486999,-565.2690249864937,-515.2448021104861
MPS-CB,-543.1858204609496,-518.1737090229458,-537.7823930111525,-504.43291109381414,-545.3292476397351,-511.9797657223967,-518.6989280876086,-468.67470521160107
MPS-CC,-553.5536016585776,-528.5414902205738,-566.0346163545852,-532.6851344372468,-555.1548088468326,-521.8053269294942,-572.0560545451227,-522.0318316691151
PN-03,-535.9072096202523,-511.52143780844125,-545.7282453380658,-513.2138829223178,-543.4791326007274,-510.96477018497944,-539.0928422076809,-490.32129858405887
PN-04,-496.99209540479217,-473.8196965982617,-500.6211898282878,-469.72465808624725,-493.229939215645,-462.33340747360444,-496.13744114443625,-449.79264353137535
PN-07,-529.5750830672218,-506.21900441601053,-497.0188834199138,-465.8774452182987,-528.2410778766264,-497.0996396750113,-523.8584695004703,-477.14631219804767
PN-08A,-761.6076065892096,-734.7551469938346,-763.1352820658811,-727.3320026053811,-768.4677386500852,-732.6644591895852,-761.3808658350787,-707.6759466443286
PN-09,-541.8362679878365,-517.7808084776794,-542.4028968924467,-510.32895087890387,-555.4250132997411,-523.3510672861983,-558.0867521667683,-509.97583314645397
PP-01,-641.9012206557627,-617.8457611456056,-639.2672119387522,-607.1932659252093,-665.2948700249242,-633.2209240113814,-601.3265186967199,-553.2155996764055
PP-03,-708.5113942127507,-684.4559347025936,-703.3120403262647,-671.2380943127218,-725.5249201491955,-693.4509741356526,-677.5057001686389,-629.3947811483246
REGLILLA INTERNA CONAF,-62.66267684244016,-60.88765564641419,-54.42675484056136,-52.060059912526725,-91.40991635099745,-89.04322142296282,-36.24287861662114,-32.69283622456919
REGLILLA SALADA CONAF,-317.69558648878353,-303.9583417672381,-313.37939964160586,-295.0630733462119,-341.5487768442228,-323.23245054882887,-333.7501157221777,-306.2756262790868
REGLILLA SALADITA CONAF,-397.7098455723229,-382.07081900777257,-384.0600657298112,-363.2080303104108,-371.1903772787133,-350.3383418593129,-314.43361054787124,-283.1555574187706
Zanja Camino a Peine,-872.4805396037442,-844.9743273556094,-880.1509060030801,-843.4759563389003,-891.3895947620996,-854.7146450979199,-905.0654597005847,-850.0530352043152
