Pozo,Estadistico Z,Estadistico S,p-value,tendencia
BA-30,2.963,1473,0.003,Creciente
L10-1,4.070,3484,0.000,Creciente
MP-07A,-1.605,-524,0.108,Sin tendencia
MP-07C-1,4.779,1464,0.000,Creciente
MP-08A,6.585,2447,0.000,Creciente
PP-01,-2.137,-795,0.032,Decreciente
PP-03,0.000,-1,1.000,Sin tendencia
