,alb,til,tuc,peine,sop,mop,sop_iny,mop_iny
1024,-0.0021074772150979078,-0.16394291446249465,-6.075431773560671e-06,-4.885617510321878e-06,-0.1020363953053508,-0.07465033800521487,1.3907171095041178,1.1255383334814315
1024,-0.0021074772150979078,-0.16394291446249465,-6.075431773560671e-06,-4.885617510321878e-06,-0.1020363953053508,-0.07465033800521487,1.3907171095041178,1.1255383334814315
1024,-0.0021074772150979078,-0.16394291446249465,-6.075431773560671e-06,-4.885617510321878e-06,-0.1020363953053508,-0.07465033800521487,1.3907171095041178,1.1255383334814315
1028,-0.011537921262696383,-0.8265132867826507,-0.015724575480627064,-0.013693153316212958,-0.0676383159525491,-0.06348688057347518,1.0424725993806223,1.0005902831043314
1028,-0.011537921262696383,-0.8265132867826507,-0.015724575480627064,-0.013693153316212958,-0.0676383159525491,-0.06348688057347518,1.0424725993806223,1.0005902831043314
1028,-0.011537921262696383,-0.8265132867826507,-0.015724575480627064,-0.013693153316212958,-0.0676383159525491,-0.06348688057347518,1.0424725993806223,1.0005902831043314
2018,-0.006723698976415558,-0.06817493051680296,-0.05724169947320364,-0.028330228889681005,-0.021028776800117954,-0.009115287354635612,0.26220577456377403,0.19936151616433398
2018,-0.006723698976415558,-0.06817493051680296,-0.05724169947320364,-0.028330228889681005,-0.021028776800117954,-0.009115287354635612,0.26220577456377403,0.19936151616433398
2018,-0.006723698976415558,-0.06817493051680296,-0.05724169947320364,-0.028330228889681005,-0.021028776800117954,-0.009115287354635612,0.26220577456377403,0.19936151616433398
2037,-0.002109989158492573,-0.15858080631451843,-0.003257813607641049,-0.001318739233766489,-0.11343434213024965,-0.0782262709527053,1.5392103644709132,1.200814032756189
2037,-0.002109989158492573,-0.15858080631451843,-0.003257813607641049,-0.001318739233766489,-0.11343434213024965,-0.0782262709527053,1.5392103644709132,1.200814032756189
2037,-0.002109989158492573,-0.15858080631451843,-0.003257813607641049,-0.001318739233766489,-0.11343434213024965,-0.0782262709527053,1.5392103644709132,1.200814032756189
BA-17,-0.01357917623798657,-0.10974406718524247,-7.295285659808664e-05,-5.117509139219077e-05,-0.015534835307620173,-0.01456300311214023,0.22381941104492,0.21881665910187292
BA-17,-0.01357917623798657,-0.10974406718524247,-7.295285659808664e-05,-5.117509139219077e-05,-0.015534835307620173,-0.01456300311214023,0.22381941104492,0.21881665910187292
BA-17,-0.01357917623798657,-0.10974406718524247,-7.295285659808664e-05,-5.117509139219077e-05,-0.015534835307620173,-0.01456300311214023,0.22381941104492,0.21881665910187292
BA-18,-0.0023754517926390293,-0.13832252358109043,-4.521898861690334e-06,-3.2420056056360666e-06,-0.010184914155871763,-0.008434088499235142,2.5363697031818018,1.8638901580541665
BA-18,-0.0023754517926390293,-0.13832252358109043,-4.521898861690334e-06,-3.2420056056360666e-06,-0.010184914155871763,-0.008434088499235142,2.5363697031818018,1.8638901580541665
BA-18,-0.0023754517926390293,-0.13832252358109043,-4.521898861690334e-06,-3.2420056056360666e-06,-0.010184914155871763,-0.008434088499235142,2.5363697031818018,1.8638901580541665
BA-19,-0.001882417593987877,-0.16624681860789775,-1.8021076685225625e-06,-7.207037074734027e-07,-0.016676465125884516,-0.014969179077925698,0.05791330974037846,0.051187107776060045
BA-19,-0.001882417593987877,-0.16624681860789775,-1.8021076685225625e-06,-7.207037074734027e-07,-0.016676465125884516,-0.014969179077925698,0.05791330974037846,0.051187107776060045
BA-19,-0.001882417593987877,-0.16624681860789775,-1.8021076685225625e-06,-7.207037074734027e-07,-0.016676465125884516,-0.014969179077925698,0.05791330974037846,0.051187107776060045
BA-20,-0.0009792147044716726,-0.11723946911387031,-3.6616250576940546e-08,-7.673697536014912e-09,-0.009194112199267919,-0.007847346011787682,0.015561850951696305,0.01388259306005803
BA-20,-0.0009792147044716726,-0.11723946911387031,-3.6616250576940546e-08,-7.673697536014912e-09,-0.009194112199267919,-0.007847346011787682,0.015561850951696305,0.01388259306005803
BA-20,-0.0009792147044716726,-0.11723946911387031,-3.6616250576940546e-08,-7.673697536014912e-09,-0.009194112199267919,-0.007847346011787682,0.015561850951696305,0.01388259306005803
BA-21,-6.704827785560796e-05,-0.01584967004322372,-9.28428936909286e-08,-1.29935724091175e-08,-0.0013740217741324832,-0.001214661689647499,2.218374996485485e-33,2.1372468868745604e-33
BA-21,-6.704827785560796e-05,-0.01584967004322372,-9.28428936909286e-08,-1.29935724091175e-08,-0.0013740217741324832,-0.001214661689647499,2.218374996485485e-33,2.1372468868745604e-33
BA-21,-6.704827785560796e-05,-0.01584967004322372,-9.28428936909286e-08,-1.29935724091175e-08,-0.0013740217741324832,-0.001214661689647499,2.218374996485485e-33,2.1372468868745604e-33
BA-22,-0.0006942429161969671,-0.001957575863636928,-3.326724484725704e-06,-1.183169950907694e-06,-0.0008868855008573831,-0.0008394311569988521,0.004654879551561252,0.004360209029648866
BA-22,-0.0006942429161969671,-0.001957575863636928,-3.326724484725704e-06,-1.183169950907694e-06,-0.0008868855008573831,-0.0008394311569988521,0.004654879551561252,0.004360209029648866
BA-22,-0.0006942429161969671,-0.001957575863636928,-3.326724484725704e-06,-1.183169950907694e-06,-0.0008868855008573831,-0.0008394311569988521,0.004654879551561252,0.004360209029648866
BA-23,-0.0005401205988647893,-0.0840144514602681,-3.666503675500028e-07,-1.008676856474964e-07,-0.005203543263927191,-0.004555695906196964,3.1160188332955164e-20,3.076620569758062e-20
BA-23,-0.0005401205988647893,-0.0840144514602681,-3.666503675500028e-07,-1.008676856474964e-07,-0.005203543263927191,-0.004555695906196964,3.1160188332955164e-20,3.076620569758062e-20
BA-23,-0.0005401205988647893,-0.0840144514602681,-3.666503675500028e-07,-1.008676856474964e-07,-0.005203543263927191,-0.004555695906196964,3.1160188332955164e-20,3.076620569758062e-20
BA-28,-0.00018032247627774916,-0.01727008263828571,-2.131891403437848e-06,-4.5702960541550265e-07,-0.010039747262613977,-0.009512144393744475,0.14311584597103194,0.13876922442081785
BA-28,-0.00018032247627774916,-0.01727008263828571,-2.131891403437848e-06,-4.5702960541550265e-07,-0.010039747262613977,-0.009512144393744475,0.14311584597103194,0.13876922442081785
BA-28,-0.00018032247627774916,-0.01727008263828571,-2.131891403437848e-06,-4.5702960541550265e-07,-0.010039747262613977,-0.009512144393744475,0.14311584597103194,0.13876922442081785
BA-30,-0.00013003094604793227,-0.06689641717177487,-1.0100770380420586e-11,-1.405343688569935e-13,-0.026751971352708417,-0.025550479633139896,0.3187138916573793,0.3045279287556091
BA-30,-0.00013003094604793227,-0.06689641717177487,-1.0100770380420586e-11,-1.405343688569935e-13,-0.026751971352708417,-0.025550479633139896,0.3187138916573793,0.3045279287556091
BA-30,-0.00013003094604793227,-0.06689641717177487,-1.0100770380420586e-11,-1.405343688569935e-13,-0.026751971352708417,-0.025550479633139896,0.3187138916573793,0.3045279287556091
E1,-6.893507213567592e-07,-0.07569327582888188,-0.002411630813156143,-0.0016982053484573005,-0.005888385172493468,-0.0055800632672722535,0.0476186575602344,0.04316038385196758
E1,-6.893507213567592e-07,-0.07569327582888188,-0.002411630813156143,-0.0016982053484573005,-0.005888385172493468,-0.0055800632672722535,0.0476186575602344,0.04316038385196758
E1,-6.893507213567592e-07,-0.07569327582888188,-0.002411630813156143,-0.0016982053484573005,-0.005888385172493468,-0.0055800632672722535,0.0476186575602344,0.04316038385196758
E2,-1.0287470594004847e-06,-0.015778915959974136,-1.4601532950422606e-07,-4.4108061361801206e-08,-0.0010251760626420433,-0.0010157914522685276,2.4627447701112257e-12,2.0221638338506336e-12
E2,-1.0287470594004847e-06,-0.015778915959974136,-1.4601532950422606e-07,-4.4108061361801206e-08,-0.0010251760626420433,-0.0010157914522685276,2.4627447701112257e-12,2.0221638338506336e-12
E2,-1.0287470594004847e-06,-0.015778915959974136,-1.4601532950422606e-07,-4.4108061361801206e-08,-0.0010251760626420433,-0.0010157914522685276,2.4627447701112257e-12,2.0221638338506336e-12
E3,-0.00014535692391733857,-6.749194440605592e-35,-5.992161264369656e-35,-5.93861471023598e-35,-0.0058798680214649695,-0.005318593238519071,0.0924574309629792,0.08821979419427761
E3,-0.00014535692391733857,-6.749194440605592e-35,-5.992161264369656e-35,-5.93861471023598e-35,-0.0058798680214649695,-0.005318593238519071,0.0924574309629792,0.08821979419427761
E3,-0.00014535692391733857,-6.749194440605592e-35,-5.992161264369656e-35,-5.93861471023598e-35,-0.0058798680214649695,-0.005318593238519071,0.0924574309629792,0.08821979419427761
E4,-5.538440457606829e-05,-0.01840844048029661,-0.0006000397145623787,-0.000426529502810072,-0.0008013824285320192,-0.0007506180464673574,0.025583307666080114,0.021612798585020906
