,alb,sop,mop,til
BA-17,-0.0006267743999956855,-3.898722532203085e-05,-3.413502487386704e-05,-4.0419080148483305e-06
BA-18,-0.0017913889300052045,-0.0002050194803783335,-0.0001916060341054929,-6.475726765462095e-05
BA-19,-0.0018040224966528288,-0.0001866969438118641,-0.0001566568950874492,-4.166436178579089e-05
BA-20,-0.0007115831670300323,-1.2910795983873449e-05,-8.592551621103455e-06,-9.288480637950566e-07
BA-21,-7.459242094680464e-05,-2.2893201502446664e-10,-2.8798441848887633e-11,-1.6324058196043833e-15
BA-22,-6.337226752348693e-05,-8.587077895620556e-08,-2.9412289224220373e-08,-3.216021137792142e-10
BA-23,-0.0008782643297991726,-0.0003011629233309754,-0.0002718171882721052,-0.00014754267394465677
BA-28,-2.854953493960763e-05,-1.431198206438128e-08,-3.92068023809211e-09,-2.8650778146264243e-11
BA-30,-1.1172016392461465e-05,-1.7226152403976857e-15,-2.4063380107764885e-17,-9.241886819600865e-24
ES-11,-0.0011089314453262469,-6.868415464655353e-06,-5.981669457085601e-06,-3.7350821008544075e-06
MP-07A,-0.0001625354093010346,-5.046606686471992e-08,-2.0459110305334313e-09,-2.8371769768319263e-13
MP-07C-1,-5.712439800363164e-05,-2.7725939775251196e-10,-2.0557865920620785e-12,-2.4852364323620267e-18
MP-08A,-8.207953818482252e-05,-1.7262942090846696e-28,-8.404122461692527e-32,-2.7147300335790225e-42
MPS-AA,-4.503786586178353e-05,-4.278839128768056e-11,-4.979464747122408e-12,-2.294583913897029e-16
MPS-AB,-7.238837549347212e-05,-8.415869020623969e-09,-2.0827268078203695e-09,-3.219375016999462e-12
MPS-AC,-7.609673801809908e-05,-7.227900566177451e-11,-8.406325530638584e-12,-3.868607535184705e-16
MPS-CA,-0.0006751559149176189,-1.7891594291760065e-06,-1.0137436506747633e-06,-2.8224550529631823e-08
MPS-CB,-0.0012597158152441662,-4.6561048590812015e-05,-3.4122209348411825e-05,-4.85617200586697e-06
MPS-CC,-0.0013432190847302784,-5.711106554030731e-05,-4.243012982442869e-05,-6.5947590921699845e-06
PN-03,-0.2081218643956068,-0.17171847199620968,-0.13334303333140116,-0.054012993227142446
PN-04,-0.019296017389351956,-0.009266123177179628,-0.008691127164071503,-0.007711750800273155
PN-07,-0.0009077492112825637,-0.0008839417662904918,-0.0006932507166889241,-0.00040551588018087763
PN-08A,-0.0003424130945852204,-0.00020076964168230075,-0.00018045959065162058,-7.263357052752391e-05
PN-09,-0.0009679257115500216,-3.783299090761783e-05,-3.696135400849749e-05,-3.877731379060877e-06
PP-01,-9.89030754748129e-05,-7.806404095405106e-18,-8.369015791990385e-21,-2.7141833122264204e-29
PP-03,-5.539459123684764e-06,-1.7122609669720389e-06,-3.930389444085364e-07,-3.9575577379545575e-10
Zanja Camino a Peine,-0.0027553386049324786,-0.00017157072350571146,-0.00014257706280580885,-5.663602121573138e-05
LM-17,-0.0002324134045921079,-6.632410242293499e-08,-5.993326214570267e-08,-9.655272093530404e-10
E1,-1.1793051758637983e-37,-1.4195933464498094e-40,-7.088457615510911e-41,-8.184486708610488e-43
E2,-2.378682215952073e-05,-1.0463980418166663e-07,-6.010771608260797e-08,-1.6938008903999763e-09
E3,-2.3746721321288353e-05,-1.8162319778029092e-05,-1.7770134525366223e-05,-1.5627842687558488e-05
E4,-0.0011772423006806468,-0.00014341122714551512,-0.00011669579094112014,-3.080828264494005e-05
LM-05,-3.0595919418983344e-36,-9.364847858995799e-43,-5.591199662206341e-44,-6.1524859481104596e-49
LM-06,-2.522390318103735e-05,-2.3629381556965605e-07,-1.0778273179480574e-07,-3.743114419998309e-09
LM-07,-1.6456846285131616e-05,-1.0724364252443733e-08,-4.002335590366256e-09,-2.519000410263604e-11
LM-08,-1.2669217922332497e-36,-1.05224551891029e-41,-1.918026867512876e-42,-3.1483728628352442e-46
LM-09,-7.508431503728065e-05,-4.9948895452381915e-06,-3.7936703358331775e-06,-6.612285843278306e-07
LM-10,-6.663754422424606e-05,-4.958270732603806e-05,-4.8399292399566665e-05,-4.166753147662699e-05
1024,-0.0010756516954602332,-0.0004780543326785815,-0.0004707474418111971,-0.00046551098266141077
1028,-0.0008865016902595461,-0.0004583030540191571,-0.0004483994599223399,-0.0003211345335294736
2018,-1.8932607701389432,-1.1791479207860016,-1.0831339826312214,-0.7717350360263849
2037,-2.1961350934675394,-1.218111335665168,-0.9945085641630537,-0.8321883565334701
GD-03,-0.0014317051280227473,-0.00032420231298716814,-0.00028462691036716296,-0.00012476971688367915
GD-04,-0.0012750104965699356,-0.0006173322414666199,-0.0006036441904638391,-0.0004490968803358517
L10-1,-0.0011369541648827443,-3.435566549386517e-08,-7.92752528494414e-09,-9.130967976946992e-11
L10-10,-0.0007400214649953317,-2.675455978282445e-05,-1.9696465942491685e-05,-4.958775832605981e-06
L10-11,-0.0014841742266828554,-0.00043075005599522976,-0.00039992192408260056,-0.0003279402349944856
L10-12,-2.1617697310126873,-0.790655325641411,-0.7563843994285526,-0.6926833226598857
L10-13,-0.0005133633998309884,-8.959814337030188e-05,-8.629687049023549e-05,-2.2410176544379895e-05
L10-14,-0.0007678712543426274,-0.0005601946458995423,-0.0005286124927375591,-0.0003656694775517542
L10-15,-0.0006590433863610529,-1.4725893763154254e-06,-9.382194632115621e-07,-1.1874777578002016e-07
L10-16,-0.0008170923020174142,-2.070243938834278e-06,-1.5647243572615263e-06,-4.286573225202422e-07
L10-17,-0.0011734624917218738,-1.0023465626117453e-05,-8.582897674702013e-06,-4.240789854438902e-06
