Fecha,Pozo 1028
02/11/1994,1.067
06/02/1996,1.107
06/03/1996,1.117
06/04/1996,1.147
08/05/1996,1.177
02/06/1996,1.187
01/07/1996,1.207
06/08/1996,1.187
03/09/1996,1.167
04/10/1996,1.137
22/10/1996,1.123
19/11/1996,1.134
23/12/1996,1.117
20/01/1997,1.144
24/02/1997,1.143
12/03/1997,1.027
03/04/1997,1.05
12/05/1997,1.076
18/06/1997,1.128
10/07/1997,1.113
09/08/1997,1.125
17/09/1997,1.099
20/10/1997,1.121
19/11/1997,1.111
19/12/1997,1.137
23/01/1998,1.118
21/02/1998,1.096
14/03/1998,1.117
23/04/1998,1.186
21/05/1998,1.186
26/06/1998,1.21
18/07/1998,1.193
23/08/1998,1.192
26/09/1998,1.218
30/10/1998,1.214
23/11/1998,1.197
29/12/1998,1.195
27/01/1999,1.229
16/02/1999,1.218
24/02/1999,1.191
06/03/1999,1.215
31/03/1999,1.234
27/04/1999,1.247
27/05/1999,1.28
21/06/1999,1.274
10/08/1999,1.295
29/08/1999,1.275
21/09/1999,1.275
25/10/1999,1.292
23/11/1999,1.292
24/12/1999,1.309
21/01/2000,1.308
26/02/2000,1.312
17/03/2000,1.303
24/04/2000,1.354
26/05/2000,1.345
29/06/2000,1.369
16/07/2000,1.369
26/08/2000,1.364
01/10/2000,1.371
25/10/2000,1.361
13/11/2000,1.364
18/12/2000,1.368
14/01/2001,1.376
11/02/2001,1.381
26/03/2001,1.173
11/04/2001,1.17
20/05/2001,1.213
15/06/2001,1.226
15/07/2001,1.233
13/08/2001,1.237
25/09/2001,1.226
29/10/2001,1.221
24/11/2001,1.225
18/12/2001,1.232
17/01/2002,1.26
07/02/2002,1.276
05/03/2002,1.287
26/03/2002,0.924
12/04/2002,0.965
29/05/2002,1.082
28/06/2002,1.107
06/07/2002,1.022
16/08/2002,1.063
01/10/2002,1.086
14/10/2002,1.098
29/11/2002,1.089
12/12/2002,1.096
28/01/2003,1.106
17/02/2003,1.134
22/03/2003,1.186
18/04/2003,1.225
11/05/2003,1.245
22/05/2003,1.23
31/05/2003,1.212
14/06/2003,1.265
21/07/2003,1.284
17/08/2003,1.273
07/09/2003,1.262
10/10/2003,1.245
28/11/2003,1.263
27/12/2003,1.278
19/01/2004,1.287
27/02/2004,1.305
10/03/2004,1.316
19/04/2004,1.36
09/05/2004,1.345
29/06/2004,1.396
31/07/2004,1.405
05/08/2004,1.423
17/09/2004,1.39
03/10/2004,1.385
01/12/2004,1.445
25/12/2004,1.395
16/01/2005,1.385
18/02/2005,1.417
11/03/2005,1.43
12/04/2005,1.444
24/05/2005,1.46
18/06/2005,1.456
13/07/2005,1.465
16/08/2005,1.475
11/09/2005,1.475
22/10/2005,1.473
06/12/2005,1.485
25/12/2005,1.47
15/01/2006,1.482
05/02/2006,1.481
19/03/2006,1.505
11/04/2006,1.505
23/05/2006,1.52
18/06/2006,1.56
28/07/2006,1.54
09/08/2006,1.555
21/09/2006,1.53
13/10/2006,1.525
19/11/2006,1.54
12/12/2006,1.545
04/02/2007,1.553
06/02/2007,1.555
12/03/2007,1.563
10/04/2007,1.565
27/05/2007,1.585
10/06/2007,1.59
24/07/2007,1.612
05/08/2007,1.603
01/09/2007,1.611
09/09/2007,1.607
01/10/2007,1.609
06/10/2007,1.621
29/10/2007,1.604
19/11/2007,1.616
01/12/2007,1.614
26/12/2007,1.618
31/01/2008,1.598
02/03/2008,1.639
31/03/2008,1.647
03/05/2008,1.654
27/05/2008,1.685
28/06/2008,1.684
04/08/2008,1.708
25/08/2008,1.694
01/10/2008,1.669
26/10/2008,1.673
05/12/2008,1.685
26/12/2008,1.681
27/01/2009,1.668
23/02/2009,1.683
21/03/2009,1.686
16/04/2009,1.683
18/05/2009,1.703
17/06/2009,1.71
23/07/2009,1.713
17/08/2009,1.699
25/09/2009,1.683
19/10/2009,1.674
25/11/2009,1.651
25/12/2009,1.663
19/01/2010,1.678
27/02/2010,1.642
29/03/2010,1.656
19/04/2010,1.663
24/05/2010,1.706
18/06/2010,1.727
24/07/2010,1.752
23/08/2010,1.735
22/09/2010,1.741
21/10/2010,1.748
25/11/2010,1.752
24/12/2010,1.761
22/01/2011,1.773
23/02/2011,1.774
24/03/2011,1.812
22/04/2011,1.818
28/05/2011,1.846
24/06/2011,1.839
22/07/2011,1.844
22/08/2011,1.858
24/09/2011,1.845
19/10/2011,1.854
23/11/2011,1.877
19/12/2011,1.868
23/01/2012,1.875
27/02/2012,1.691
23/03/2012,1.695
21/04/2012,1.722
22/05/2012,1.754
19/06/2012,1.769
23/07/2012,1.777
27/08/2012,1.776
19/09/2012,1.764
21/10/2012,1.775
19/11/2012,1.78
17/12/2012,1.782
19/01/2013,1.791
21/02/2013,1.512
19/03/2013,1.564
16/04/2013,1.653
21/05/2013,1.553
16/06/2013,1.544
21/07/2013,1.584
23/08/2013,1.576
26/09/2013,1.578
23/10/2013,1.596
21/11/2013,1.633
21/12/2013,1.642
24/01/2014,1.685
16/02/2014,1.7
19/03/2014,1.722
23/04/2014,1.764
23/05/2014,1.791
23/06/2014,1.832
18/07/2014,1.851
17/08/2014,1.865
21/09/2014,1.868
17/10/2014,1.876
19/11/2014,1.881
17/12/2014,1.893
17/12/2014,1.893
25/01/2015,1.91
22/02/2015,1.909
19/03/2015,1.803
26/04/2015,1.514
21/05/2015,1.583
25/06/2015,1.642
23/07/2015,1.685
21/08/2015,1.711
25/09/2015,1.704
22/10/2015,1.711
27/11/2015,1.728
28/12/2015,1.745
25/01/2016,1.789
26/02/2016,1.803
27/03/2016,1.846
24/04/2016,1.871
20/05/2016,1.91
24/06/2016,1.93
22/07/2016,1.94
22/08/2016,1.936
22/09/2016,1.947
22/10/2016,1.962
22/11/2016,1.974
22/12/2016,1.989
22/01/2017,2.004
22/02/2017,1.979
22/03/2017,1.669
22/04/2017,1.745
22/05/2017,1.809
22/06/2017,1.712
22/07/2017,1.763
25/07/2017,1.767
22/08/2017,1.798
22/09/2017,1.829
24/10/2017,1.84
