Fecha,Pozo L10-5
01/10/2007,1.86
29/10/2007,1.857
05/12/2007,1.87
26/12/2007,1.883
31/01/2008,1.847
02/03/2008,1.875
31/03/2008,1.899
03/05/2008,1.908
29/05/2008,1.919
25/06/2008,1.913
04/08/2008,1.935
25/08/2008,1.933
01/10/2008,1.922
26/10/2008,1.92
06/12/2008,1.944
26/12/2008,1.941
27/01/2009,1.936
23/02/2009,1.938
21/03/2009,1.943
16/04/2009,1.935
18/05/2009,1.945
25/06/2009,1.955
23/07/2009,1.952
18/08/2009,1.936
25/09/2009,1.931
19/10/2009,1.93
25/11/2009,1.903
25/12/2009,1.934
24/01/2010,1.937
27/02/2010,1.895
29/03/2010,1.898
19/04/2010,1.901
24/05/2010,1.938
18/06/2010,1.957
24/07/2010,1.974
23/08/2010,1.973
25/09/2010,1.976
21/10/2010,1.993
22/11/2010,1.968
24/12/2010,1.998
22/01/2011,2.005
25/02/2011,2.011
24/03/2011,2.053
22/04/2011,2.05
28/05/2011,2.076
24/06/2011,2.067
22/07/2011,2.08
23/08/2011,2.086
24/09/2011,2.077
19/10/2011,2.093
23/11/2011,2.112
19/12/2011,2.106
23/01/2012,2.115
28/02/2012,1.946
25/03/2012,1.945
23/04/2012,1.972
22/05/2012,1.991
19/06/2012,2.001
23/07/2012,2.011
27/08/2012,2.017
19/09/2012,2.011
26/10/2012,2.016
19/11/2012,2.035
06/12/2012,2.015
06/12/2012,
17/12/2012,2.036
19/01/2013,2.037
21/02/2013,1.802
19/03/2013,1.864
16/04/2013,1.849
21/05/2013,1.813
16/06/2013,1.796
22/07/2013,1.828
23/08/2013,1.826
26/09/2013,1.83
23/10/2013,1.848
21/11/2013,1.881
21/12/2013,1.893
23/01/2014,1.923
16/02/2014,1.943
19/03/2014,1.963
23/04/2014,1.998
23/05/2014,2.014
23/06/2014,2.06
18/07/2014,2.079
17/08/2014,2.094
21/09/2014,2.105
17/10/2014,2.11
20/11/2014,2.126
22/12/2014,2.146
25/01/2015,2.15
22/02/2015,2.148
19/03/2015,2.018
19/04/2015,1.759
21/05/2015,1.824
25/06/2015,1.875
26/07/2015,1.923
21/08/2015,1.942
29/09/2015,1.954
22/10/2015,1.957
27/11/2015,1.975
28/12/2015,1.998
25/01/2016,2.022
26/02/2016,2.048
27/03/2016,2.081
28/04/2016,2.109
29/05/2016,2.141
24/06/2016,2.163
23/07/2016,2.162
22/08/2016,2.168
22/09/2016,2.184
22/10/2016,2.197
22/11/2016,2.212
22/12/2016,2.225
22/01/2017,2.241
22/02/2017,2.217
22/03/2017,1.915
22/04/2017,1.986
22/05/2017,2.041
22/06/2017,1.956
22/07/2017,1.998
22/08/2017,2.033
22/09/2017,2.069
22/10/2017,2.078
22/11/2017,2.102
22/12/2017,2.137
22/01/2018,2.143
22/02/2018,2.162
22/03/2018,2.185
22/04/2018,2.208
22/05/2018,2.234
22/06/2018,2.25
22/07/2018,2.248
22/08/2018,2.262
22/09/2018,2.267
22/10/2018,2.266
22/11/2018,2.27
22/12/2018,2.278
22/01/2019,2.283
27/02/2019,1.599
22/03/2019,1.647
22/04/2019,1.693
22/05/2019,1.735
28/06/2019,
22/07/2019,
22/08/2019,
22/09/2019,
22/10/2019,
22/11/2019,
22/12/2019,
22/01/2020,
22/02/2020,
22/03/2020,
22/04/2020,
22/05/2020,
22/06/2020,
22/07/2020,
22/08/2020,
22/09/2020,
22/10/2020,
22/11/2020,
22/12/2020,
22/01/2021,
28/01/2021,2.107
28/01/2021,2.107
26/02/2021,2.128
26/02/2021,2.129
25/03/2021,2.155
25/03/2021,2.155
27/04/2021,2.196
27/04/2021,2.196
