Fecha,Pozo 2037
02/10/2007,2.266
27/10/2007,2.275
05/12/2007,2.275
27/12/2007,2.29
02/02/2008,2.27
05/03/2008,2.293
31/03/2008,2.301
03/05/2008,2.326
27/05/2008,2.344
30/06/2008,2.345
11/08/2008,2.361
23/08/2008,2.353
24/09/2008,2.34
27/10/2008,2.332
05/12/2008,2.343
26/12/2008,2.338
25/01/2009,2.331
24/02/2009,2.335
23/03/2009,2.349
16/04/2009,2.348
17/05/2009,2.358
25/06/2009,2.379
23/07/2009,2.367
25/08/2009,2.349
25/09/2009,2.331
19/10/2009,2.321
26/11/2009,2.296
25/12/2009,2.312
24/01/2010,2.317
27/02/2010,2.285
29/03/2010,2.298
19/04/2010,2.305
24/05/2010,2.361
22/06/2010,2.381
24/07/2010,2.401
23/08/2010,2.382
25/09/2010,2.388
27/10/2010,2.406
19/11/2010,2.418
25/12/2010,2.403
22/01/2011,2.425
23/02/2011,2.413
25/03/2011,2.464
22/04/2011,2.472
27/05/2011,2.499
24/06/2011,2.503
22/07/2011,2.508
23/08/2011,2.507
16/09/2011,2.497
30/10/2011,2.505
23/11/2011,2.526
19/12/2011,2.52
15/01/2012,2.476
28/02/2012,2.318
23/03/2012,2.335
23/04/2012,2.369
22/05/2012,2.399
19/06/2012,2.395
23/07/2012,2.427
19/08/2012,2.435
19/09/2012,2.417
21/10/2012,2.429
19/11/2012,2.433
17/12/2012,2.431
17/01/2013,2.438
21/02/2013,2.133
19/03/2013,2.198
16/04/2013,2.231
21/05/2013,2.186
19/06/2013,2.185
22/07/2013,2.235
23/08/2013,2.226
26/09/2013,2.223
23/10/2013,2.243
21/11/2013,2.28
21/12/2013,2.291
23/01/2014,2.33
16/02/2014,2.355
19/03/2014,2.374
24/04/2014,2.426
23/05/2014,2.447
23/06/2014,2.488
17/07/2014,2.509
18/08/2014,2.522
21/09/2014,2.518
17/10/2014,2.523
20/11/2014,2.534
17/12/2014,2.541
17/12/2014,2.541
17/12/2014,
19/01/2015,2.561
22/02/2015,2.549
19/03/2015,2.394
19/04/2015,2.154
21/05/2015,2.233
14/06/2015,2.28
23/07/2015,2.347
21/08/2015,2.357
19/09/2015,2.345
22/10/2015,2.359
27/11/2015,2.377
28/12/2015,2.403
25/01/2016,2.424
26/02/2016,2.454
24/03/2016,2.481
26/04/2016,2.523
19/05/2016,2.558
22/06/2016,2.595
23/07/2016,2.589
23/08/2016,2.593
23/09/2016,2.601
23/10/2016,2.609
23/11/2016,2.623
23/12/2016,2.641
23/01/2017,2.653
23/02/2017,2.624
23/03/2017,2.339
23/04/2017,2.401
23/05/2017,2.462
23/06/2017,2.37
23/07/2017,2.424
23/08/2017,2.456
23/09/2017,2.481
23/10/2017,2.497
23/11/2017,2.502
23/12/2017,2.517
23/01/2018,2.552
23/02/2018,2.574
23/03/2018,2.595
23/04/2018,2.625
23/05/2018,2.655
23/06/2018,2.675
23/07/2018,2.68
23/08/2018,2.685
23/09/2018,2.679
23/10/2018,2.671
23/11/2018,2.672
23/12/2018,2.678
23/01/2019,2.684
23/02/2019,1.892
23/03/2019,1.992
23/04/2019,2.058
23/05/2019,2.125
21/06/2019,2.179
20/07/2019,2.225
19/08/2019,2.272
21/09/2019,2.288
23/10/2019,
21/11/2019,2.299
19/12/2019,2.324
24/01/2020,2.365
21/02/2020,2.4
22/03/2020,2.439
23/04/2020,2.481
23/05/2020,2.539
25/05/2020,2.539
21/06/2020,2.577
21/07/2020,2.612
21/07/2020,2.613
23/08/2020,2.642
23/08/2020,2.642
23/09/2020,2.36
23/09/2020,2.362
22/10/2020,2.399
22/10/2020,2.399
22/11/2020,2.443
22/11/2020,2.443
21/12/2020,2.465
21/12/2020,2.466
21/01/2021,2.496
21/01/2021,2.497
19/02/2021,2.524
19/02/2021,2.524
17/03/2021,2.55
17/03/2021,2.55
18/04/2021,2.592
18/04/2021,2.592
22/05/2021,2.643
22/05/2021,2.644
21/06/2021,2.679
21/06/2021,2.679
18/07/2021,2.697
18/07/2021,2.697
23/08/2021,2.707
23/08/2021,2.707
22/09/2021,2.711
22/09/2021,2.711
21/10/2021,2.718
21/10/2021,2.718
24/11/2021,2.722
24/11/2021,2.722
21/12/2021,2.726
21/12/2021,2.727
19/01/2022,2.735
19/01/2022,2.736
21/02/2022,2.748
21/02/2022,2.749
25/03/2022,2.675
25/03/2022,2.675
22/04/2022,2.728
22/04/2022,2.726
22/05/2022,2.765
22/05/2022,2.763
19/06/2022,2.783
19/06/2022,2.782
19/07/2022,2.798
19/07/2022,2.796
22/08/2022,2.81
22/08/2022,2.812
16/09/2022,2.816
17/10/2022,2.824
23/11/2022,2.826
17/12/2022,2.827
16/01/2023,2.841
19/01/2023,2.841
19/01/2023,2.84
31/03/2023,
24/04/2023,2.72
24/04/2023,2.722
29/05/2023,2.783
27/06/2023,2.834
28/07/2023,2.855
04/08/2023,2.859
29/08/2023,2.866
25/09/2023,2.87
16/10/2023,2.874
09/11/2023,2.879
17/12/2023,2.892
19/01/2024,2.9
22/02/2024,2.911
11/03/2024,2.921
17/04/2024,2.941
09/05/2024,2.949
15/06/2024,2.97
22/07/2024,2.995
23/08/2024,3.003
15/09/2024,3.01
20/10/2024,3.017
18/11/2024,3.018
