Fecha,Pozo L10-2
29/10/2007,0.816
05/12/2007,0.816
27/12/2007,0.828
31/01/2008,0.798
02/03/2008,0.8
30/03/2008,0.809
05/05/2008,0.816
28/05/2008,0.813
25/06/2008,0.813
04/08/2008,0.817
25/08/2008,0.805
01/10/2008,0.803
26/10/2008,0.803
30/11/2008,0.801
29/12/2008,0.804
27/01/2009,0.803
26/02/2009,0.818
21/03/2009,0.819
16/04/2009,0.805
18/05/2009,0.809
25/06/2009,0.763
23/07/2009,0.748
18/08/2009,0.742
25/09/2009,0.736
19/10/2009,0.733
25/11/2009,0.731
25/12/2009,0.735
23/01/2010,0.729
27/02/2010,0.741
29/03/2010,0.744
25/04/2010,0.747
24/05/2010,0.755
18/06/2010,0.746
24/07/2010,0.743
23/08/2010,0.734
24/09/2010,0.729
21/10/2010,0.76
22/11/2010,0.732
24/12/2010,0.741
22/01/2011,0.748
25/02/2011,0.737
24/03/2011,0.741
24/04/2011,0.746
28/05/2011,0.744
24/06/2011,0.778
22/07/2011,0.74
23/08/2011,0.739
24/09/2011,0.738
19/10/2011,0.741
23/11/2011,0.76
19/12/2011,0.746
23/01/2012,0.765
27/02/2012,0.707
25/03/2012,0.722
25/04/2012,0.73
22/05/2012,0.741
19/06/2012,0.746
24/07/2012,0.73
25/08/2012,0.729
21/09/2012,0.723
30/10/2012,0.725
19/11/2012,0.732
06/12/2012,0.737
06/12/2012,
17/12/2012,0.735
19/01/2013,0.752
23/02/2013,0.703
21/03/2013,0.714
20/04/2013,0.706
26/05/2013,0.694
23/06/2013,0.692
22/07/2013,0.693
23/08/2013,0.669
26/09/2013,0.656
24/10/2013,0.662
21/11/2013,0.66
21/12/2013,0.669
02/01/2014,0.681
24/02/2014,0.688
25/03/2014,0.695
23/04/2014,0.705
22/05/2014,0.705
23/06/2014,0.71
18/07/2014,0.713
21/08/2014,0.715
24/09/2014,0.72
17/10/2014,0.727
20/11/2014,0.738
29/12/2014,0.758
29/01/2015,0.767
16/03/2015,0.784
29/04/2015,0.682
31/05/2015,0.685
26/06/2015,0.683
31/07/2015,0.681
27/08/2015,0.685
25/09/2015,0.689
30/10/2015,0.692
28/11/2015,0.701
29/12/2015,0.715
29/01/2016,0.729
26/02/2016,0.739
27/03/2016,0.769
28/04/2016,0.754
29/05/2016,0.765
16/06/2016,0.765
23/07/2016,0.777
26/08/2016,0.774
26/09/2016,0.777
26/10/2016,0.783
26/11/2016,0.79
26/12/2016,0.801
26/01/2017,0.801
25/02/2017,0.675
26/03/2017,
26/04/2017,
26/05/2017,
26/06/2017,
26/07/2017,
26/08/2017,
26/09/2017,0.736
26/10/2017,0.747
28/11/2017,0.757
26/12/2017,0.776
26/01/2018,0.791
26/02/2018,0.802
26/03/2018,0.81
26/04/2018,0.813
26/05/2018,0.825
26/06/2018,
26/07/2018,
26/08/2018,
26/09/2018,
26/10/2018,
26/11/2018,
26/12/2018,
26/01/2019,
26/02/2019,
26/03/2019,
26/04/2019,
26/05/2019,
28/06/2019,
26/07/2019,
26/08/2019,
26/09/2019,
26/10/2019,
26/11/2019,
26/12/2019,
26/01/2020,
26/02/2020,
26/03/2020,
26/04/2020,
26/05/2020,
26/06/2020,
26/07/2020,
26/08/2020,
26/09/2020,
26/10/2020,
26/11/2020,
26/12/2020,
28/01/2021,0.793
28/01/2021,0.793
26/02/2021,0.801
26/02/2021,0.802
25/03/2021,0.81
25/03/2021,0.81
27/04/2021,0.82
27/04/2021,0.82
05/05/2021,0.821
05/05/2021,0.821
27/06/2021,0.831
26/07/2021,
29/08/2021,0.845
29/08/2021,0.846
27/09/2021,0.853
27/09/2021,0.853
13/10/2021,0.858
13/10/2021,0.858
29/10/2021,0.862
29/10/2021,0.862
27/11/2021,
15/12/2021,
29/01/2022,
11/02/2022,
10/03/2022,0.899
10/03/2022,0.9
26/03/2022,0.901
26/03/2022,0.901
09/04/2022,0.903
09/04/2022,0.901
30/04/2022,0.907
30/04/2022,0.906
08/05/2022,0.908
08/05/2022,0.908
27/05/2022,0.912
27/05/2022,0.91
11/06/2022,0.911
11/06/2022,0.911
26/06/2022,0.912
26/06/2022,0.91
11/07/2022,0.912
11/07/2022,0.912
31/07/2022,0.913
31/07/2022,0.913
12/08/2022,
18/08/2022,0.915
18/08/2022,0.915
28/08/2022,0.916
28/08/2022,0.915
11/09/2022,0.915
25/09/2022,0.917
25/09/2022,0.917
12/10/2022,0.918
30/12/2022,
31/01/2023,
31/03/2023,
12/04/2023,0.922
12/05/2023,0.922
26/05/2023,0.926
26/05/2023,0.926
14/06/2023,0.924
14/06/2023,0.924
23/06/2023,0.925
23/06/2023,0.925
09/07/2023,0.928
09/07/2023,0.927
27/07/2023,0.931
27/07/2023,0.933
11/08/2023,0.93
11/08/2023,0.929
18/08/2023,0.927
08/09/2023,0.928
08/09/2023,0.928
05/10/2023,0.928
05/10/2023,0.928
30/11/2023,
31/12/2023,
31/01/2024,
29/02/2024,
31/03/2024,
30/04/2024,
24/05/2024,0.963
06/06/2024,0.967
06/06/2024,0.966
22/06/2024,0.968
13/07/2024,0.971
13/07/2024,0.971
08/08/2024,0.976
23/08/2024,0.977
23/08/2024,0.977
30/09/2024,
11/10/2024,0.979
21/10/2024,0.979
30/11/2024,
