Fecha,Pozo L10-3
01/10/2007,1.438
29/10/2007,1.44
05/12/2007,1.441
26/12/2007,1.452
31/01/2008,1.418
02/03/2008,1.44
31/03/2008,1.453
03/05/2008,1.468
29/05/2008,1.48
25/06/2008,1.48
04/08/2008,1.499
25/08/2008,1.497
01/10/2008,1.497
26/10/2008,1.498
01/12/2008,1.504
26/12/2008,1.504
27/01/2009,1.496
23/02/2009,1.504
21/03/2009,1.508
16/04/2009,1.5
18/05/2009,1.5
25/06/2009,1.512
23/07/2009,1.514
18/08/2009,1.506
25/09/2009,1.494
19/10/2009,1.489
25/11/2009,1.473
25/12/2009,1.481
24/01/2010,1.477
27/02/2010,1.456
29/03/2010,1.459
19/04/2010,1.464
24/05/2010,1.485
18/06/2010,1.5
24/07/2010,1.515
23/08/2010,1.517
25/09/2010,1.521
21/10/2010,1.545
22/11/2010,1.531
24/12/2010,1.525
22/01/2011,1.543
25/02/2011,1.534
24/03/2011,1.566
22/04/2011,1.561
28/05/2011,1.594
24/06/2011,1.588
22/07/2011,1.597
23/08/2011,1.601
24/09/2011,1.598
19/10/2011,1.605
23/11/2011,1.622
19/12/2011,1.614
23/01/2012,1.624
28/02/2012,1.527
25/03/2012,1.489
21/04/2012,1.485
27/05/2012,1.501
19/06/2012,1.507
23/07/2012,1.516
27/08/2012,1.519
19/09/2012,1.515
21/10/2012,1.515
19/11/2012,1.532
06/12/2012,1.516
06/12/2012,
17/12/2012,1.534
19/01/2013,1.532
21/02/2013,1.44
19/03/2013,1.393
16/04/2013,1.374
21/05/2013,1.364
16/06/2013,1.345
22/07/2013,1.338
23/08/2013,1.335
26/09/2013,1.329
23/10/2013,1.34
21/11/2013,1.355
21/12/2013,1.368
23/01/2014,1.392
16/02/2014,1.404
19/03/2014,1.424
23/04/2014,1.452
23/05/2014,1.471
23/06/2014,1.505
18/07/2014,1.525
17/08/2014,1.547
21/09/2014,1.565
17/10/2014,1.574
20/11/2014,1.592
22/12/2014,1.606
25/01/2015,1.614
22/02/2015,1.619
19/03/2015,1.57
19/04/2015,1.279
21/05/2015,1.286
25/06/2015,1.316
26/07/2015,1.35
21/08/2015,1.363
29/09/2015,1.386
22/10/2015,1.393
27/11/2015,1.409
28/12/2015,1.429
25/01/2016,1.442
26/02/2016,1.471
27/03/2016,1.493
28/04/2016,1.517
29/05/2016,1.551
24/06/2016,1.58
23/07/2016,1.586
22/08/2016,1.602
22/09/2016,1.613
22/10/2016,1.622
22/11/2016,1.636
22/12/2016,1.648
22/01/2017,1.665
22/02/2017,1.662
22/03/2017,1.345
22/04/2017,1.379
22/05/2017,1.413
22/06/2017,1.376
22/07/2017,1.394
22/08/2017,1.417
22/09/2017,1.442
22/10/2017,1.461
22/11/2017,1.487
22/12/2017,1.49
22/01/2018,1.52
22/02/2018,1.544
22/03/2018,1.565
22/04/2018,1.589
22/05/2018,1.613
22/06/2018,1.636
22/07/2018,1.649
22/08/2018,1.661
22/09/2018,1.669
22/10/2018,1.674
22/11/2018,1.678
22/12/2018,1.686
22/01/2019,1.69
27/02/2019,1.244
22/03/2019,1.187
22/04/2019,1.175
22/05/2019,1.182
28/06/2019,
22/07/2019,
22/08/2019,
22/09/2019,
22/10/2019,
22/11/2019,
22/12/2019,
22/01/2020,
22/02/2020,
22/03/2020,
22/04/2020,
22/05/2020,
22/06/2020,
22/07/2020,
22/08/2020,
22/09/2020,
22/10/2020,
22/11/2020,
22/12/2020,
28/01/2021,1.464
28/01/2021,1.464
26/02/2021,1.485
26/02/2021,1.487
25/03/2021,1.507
25/03/2021,1.507
27/04/2021,1.538
27/04/2021,1.538
06/05/2021,1.549
06/05/2021,1.549
27/06/2021,1.603
22/07/2021,
29/08/2021,
25/09/2021,1.665
25/09/2021,1.665
13/10/2021,1.67
13/10/2021,1.67
29/10/2021,1.677
29/10/2021,1.677
15/11/2021,1.684
27/11/2021,1.687
27/11/2021,1.687
15/12/2021,1.697
15/12/2021,1.697
24/12/2021,1.696
24/12/2021,1.696
16/01/2022,1.705
16/01/2022,1.705
27/01/2022,1.707
27/01/2022,1.707
11/02/2022,1.713
11/02/2022,1.714
27/02/2022,1.719
27/02/2022,1.718
10/03/2022,1.722
10/03/2022,1.721
26/03/2022,1.7
26/03/2022,1.699
09/04/2022,1.688
09/04/2022,1.688
30/04/2022,1.706
30/04/2022,1.705
08/05/2022,1.713
08/05/2022,1.713
28/05/2022,1.728
28/05/2022,1.726
11/06/2022,1.733
11/06/2022,1.732
26/06/2022,1.739
26/06/2022,1.737
12/07/2022,1.744
12/07/2022,1.743
31/07/2022,1.753
31/07/2022,1.753
18/08/2022,1.76
18/08/2022,1.76
27/08/2022,1.765
27/08/2022,1.764
10/09/2022,1.767
24/09/2022,1.775
24/09/2022,1.776
12/10/2022,1.782
31/10/2022,1.789
31/10/2022,1.788
12/11/2022,1.792
28/11/2022,1.797
28/11/2022,1.796
11/12/2022,1.801
30/12/2022,1.806
30/12/2022,1.805
13/01/2023,1.811
28/01/2023,1.814
28/01/2023,1.813
10/02/2023,1.768
20/02/2023,1.726
20/02/2023,1.724
25/02/2023,1.716
26/02/2023,1.713
14/03/2023,1.709
15/03/2023,1.706
26/03/2023,1.694
30/03/2023,1.684
30/03/2023,1.684
31/03/2023,1.684
30/04/2023,
14/05/2023,1.713
28/05/2023,1.734
28/05/2023,1.734
11/06/2023,1.749
24/06/2023,1.771
24/06/2023,1.77
08/07/2023,1.784
25/07/2023,1.797
27/08/2023,1.817
10/09/2023,1.821
06/10/2023,1.831
11/11/2023,1.843
11/12/2023,1.854
07/01/2024,1.865
10/02/2024,1.872
24/02/2024,1.876
24/02/2024,1.875
09/03/2024,1.881
23/03/2024,1.886
23/03/2024,1.883
13/04/2024,1.889
27/04/2024,1.896
27/04/2024,1.895
11/05/2024,1.9
25/05/2024,1.905
07/06/2024,1.911
23/06/2024,1.918
10/07/2024,1.925
27/07/2024,1.939
09/08/2024,1.937
19/08/2024,1.941
19/08/2024,1.943
12/09/2024,1.95
26/09/2024,1.954
26/09/2024,1.954
24/10/2024,1.961
08/11/2024,1.967
28/11/2024,1.972
06/12/2024,1.973
