Fecha,Pozo 1024
06/02/1996,0.825
06/03/1996,0.855
06/04/1996,0.875
08/05/1996,0.925
02/06/1996,0.955
01/07/1996,0.955
06/08/1996,0.935
03/09/1996,0.915
04/10/1996,0.865
22/10/1996,0.834
18/11/1996,0.831
15/12/1996,0.835
20/01/1997,0.871
24/02/1997,0.827
13/03/1997,0.779
03/04/1997,0.792
12/05/1997,0.865
18/06/1997,0.912
10/07/1997,0.897
09/08/1997,0.903
17/09/1997,0.849
20/10/1997,0.89
19/11/1997,0.869
19/12/1997,0.902
23/01/1998,0.881
21/02/1998,0.874
14/03/1998,0.889
23/04/1998,0.968
21/05/1998,0.979
26/06/1998,0.994
18/07/1998,0.975
23/08/1998,0.962
26/09/1998,0.974
30/10/1998,0.964
23/11/1998,0.953
29/12/1998,0.949
27/01/1999,0.989
16/02/1999,0.98
24/02/1999,0.972
06/03/1999,0.984
31/03/1999,1.004
26/04/1999,1.027
27/05/1999,1.065
21/06/1999,1.077
10/08/1999,1.062
29/08/1999,1.036
21/09/1999,1.031
25/10/1999,1.049
23/11/1999,1.041
24/12/1999,1.068
21/01/2000,1.063
26/02/2000,1.066
17/03/2000,1.068
24/04/2000,1.129
26/05/2000,1.12
29/06/2000,1.147
16/07/2000,1.152
26/08/2000,1.114
30/09/2000,1.11
25/10/2000,1.115
13/11/2000,1.125
18/12/2000,1.125
14/01/2001,1.134
11/02/2001,1.136
26/03/2001,0.92
11/04/2001,0.938
20/05/2001,1.002
15/06/2001,1.014
15/07/2001,1.013
13/08/2001,0.999
25/09/2001,0.983
29/10/2001,0.975
24/11/2001,0.975
18/12/2001,0.981
17/01/2002,1.017
07/02/2002,1.036
05/03/2002,1.054
26/03/2002,0.666
12/04/2002,0.691
29/05/2002,0.846
28/06/2002,0.878
06/07/2002,0.837
16/08/2002,0.81
01/10/2002,0.833
14/10/2002,0.841
29/11/2002,0.834
12/12/2002,0.85
28/01/2003,0.872
17/02/2003,0.897
21/03/2003,0.925
18/04/2003,1.01
10/05/2003,1.02
22/05/2003,0.99
13/06/2003,1.09
