Fecha,Pozo L10-8
01/10/2007,2.13
29/10/2007,2.132
05/12/2007,2.144
26/12/2007,2.157
31/01/2008,2.118
02/03/2008,2.152
30/03/2008,2.159
05/05/2008,2.187
28/05/2008,2.18
25/06/2008,2.188
04/08/2008,2.213
25/08/2008,2.21
01/10/2008,2.196
26/10/2008,2.198
30/11/2008,2.218
29/12/2008,2.215
27/01/2009,2.204
26/02/2009,2.212
21/03/2009,2.22
16/04/2009,2.215
18/05/2009,2.224
25/06/2009,2.232
23/07/2009,2.231
18/08/2009,2.216
25/09/2009,2.204
19/10/2009,2.202
24/11/2009,2.18
24/11/2009,
25/11/2009,2.179
25/12/2009,2.181
23/01/2010,2.187
27/02/2010,2.169
29/03/2010,2.174
25/04/2010,2.191
24/05/2010,2.217
18/06/2010,2.231
24/07/2010,2.258
23/08/2010,2.237
24/09/2010,2.252
21/10/2010,2.27
22/11/2010,2.264
24/12/2010,2.286
22/01/2011,2.294
25/02/2011,2.292
24/03/2011,2.321
24/04/2011,2.326
28/05/2011,2.359
24/06/2011,2.349
22/07/2011,2.368
23/08/2011,2.366
24/09/2011,2.361
19/10/2011,2.374
23/11/2011,2.391
19/12/2011,2.386
23/01/2012,2.395
27/02/2012,2.198
25/03/2012,2.217
25/04/2012,2.243
22/05/2012,2.269
19/06/2012,2.278
24/07/2012,2.292
25/08/2012,2.296
21/09/2012,2.292
30/10/2012,2.292
19/11/2012,2.315
17/12/2012,2.31
19/01/2013,2.315
23/02/2013,2.083
21/03/2013,2.102
20/04/2013,2.127
26/05/2013,2.083
23/06/2013,2.096
22/07/2013,2.096
23/08/2013,2.105
26/09/2013,2.102
24/10/2013,2.13
21/11/2013,2.153
21/12/2013,2.168
22/01/2014,2.2
24/02/2014,2.232
25/03/2014,2.254
23/04/2014,2.278
22/05/2014,2.307
23/06/2014,2.346
18/07/2014,2.366
21/08/2014,2.384
24/09/2014,2.39
17/10/2014,2.393
20/11/2014,2.412
29/12/2014,2.427
29/01/2015,2.433
16/03/2015,2.392
29/04/2015,2.065
31/05/2015,2.128
26/06/2015,2.162
31/07/2015,2.235
27/08/2015,2.24
25/09/2015,2.234
30/10/2015,2.247
28/11/2015,2.264
29/12/2015,2.276
29/01/2016,2.306
26/02/2016,2.327
27/03/2016,2.361
28/04/2016,2.388
29/05/2016,2.42
15/06/2016,2.434
30/06/2016,2.44
30/06/2016,
23/07/2016,2.463
26/08/2016,2.459
26/09/2016,2.467
26/10/2016,2.487
26/11/2016,2.495
26/12/2016,2.504
26/01/2017,2.509
25/02/2017,2.161
26/03/2017,
26/04/2017,
26/05/2017,
26/06/2017,
26/07/2017,
26/08/2017,
26/09/2017,2.345
26/10/2017,2.367
28/11/2017,2.375
26/12/2017,2.39
26/01/2018,2.424
26/02/2018,2.451
26/03/2018,2.472
26/04/2018,2.491
26/05/2018,2.519
26/06/2018,
26/07/2018,
26/08/2018,
26/09/2018,
26/10/2018,
26/11/2018,
26/12/2018,
26/01/2019,
26/02/2019,
26/03/2019,
26/04/2019,
26/05/2019,
28/06/2019,
26/07/2019,
26/08/2019,
26/09/2019,
26/10/2019,
26/11/2019,
26/12/2019,
26/01/2020,
26/02/2020,
26/03/2020,
26/04/2020,
26/05/2020,
26/06/2020,
26/07/2020,
26/08/2020,
26/09/2020,
26/10/2020,
26/11/2020,
26/12/2020,
26/01/2021,
28/01/2021,2.385
28/01/2021,2.385
26/02/2021,2.409
26/02/2021,2.41
25/03/2021,2.437
25/03/2021,2.437
27/04/2021,2.48
05/05/2021,2.491
05/05/2021,2.492
27/06/2021,2.548
26/07/2021,
29/08/2021,2.581
29/08/2021,2.581
27/09/2021,2.587
27/09/2021,2.587
13/10/2021,2.591
13/10/2021,2.591
29/10/2021,2.596
29/10/2021,2.596
27/11/2021,
15/12/2021,
29/01/2022,
11/02/2022,
10/03/2022,2.633
10/03/2022,2.633
26/03/2022,2.584
26/03/2022,2.582
09/04/2022,2.584
09/04/2022,2.584
30/04/2022,2.615
30/04/2022,2.614
08/05/2022,2.624
08/05/2022,2.624
27/05/2022,2.637
27/05/2022,2.636
11/06/2022,2.642
11/06/2022,2.643
26/06/2022,2.651
26/06/2022,2.65
11/07/2022,2.657
11/07/2022,2.656
31/07/2022,2.666
31/07/2022,2.666
12/08/2022,
18/08/2022,2.676
18/08/2022,2.677
28/08/2022,2.68
28/08/2022,2.679
11/09/2022,2.684
25/09/2022,2.692
25/09/2022,2.693
12/10/2022,2.697
30/12/2022,
31/01/2023,
31/03/2023,
12/04/2023,2.578
12/05/2023,2.627
26/05/2023,2.651
26/05/2023,2.651
14/06/2023,2.678
14/06/2023,2.677
23/06/2023,2.69
23/06/2023,2.689
09/07/2023,2.708
09/07/2023,2.707
27/07/2023,2.719
27/07/2023,2.721
11/08/2023,2.726
11/08/2023,2.725
18/08/2023,2.728
08/09/2023,2.738
08/09/2023,2.737
05/10/2023,2.747
05/10/2023,2.746
30/11/2023,
31/12/2023,
31/01/2024,
29/02/2024,
31/03/2024,
30/04/2024,
24/05/2024,2.821
06/06/2024,2.828
06/06/2024,2.828
22/06/2024,2.835
13/07/2024,2.848
13/07/2024,2.846
08/08/2024,2.857
23/08/2024,2.862
23/08/2024,2.863
30/09/2024,
11/10/2024,2.879
21/10/2024,2.882
30/11/2024,
