Fecha,Pozo L10-15
29/10/2007,1.653
01/12/2007,1.653
26/12/2007,1.657
31/01/2008,1.602
02/03/2008,1.625
30/03/2008,1.639
05/05/2008,1.668
27/05/2008,1.675
25/06/2008,1.676
04/08/2008,1.699
25/08/2008,1.7
01/10/2008,1.7
26/10/2008,1.698
30/11/2008,1.699
29/12/2008,1.711
27/01/2009,1.694
26/02/2009,1.699
21/03/2009,1.709
16/04/2009,1.702
18/05/2009,1.705
25/06/2009,1.721
23/07/2009,1.726
17/08/2009,1.718
25/09/2009,1.708
19/10/2009,1.705
24/11/2009,1.69
24/11/2009,
25/11/2009,1.692
25/12/2009,1.688
23/01/2010,1.672
27/02/2010,1.669
29/03/2010,1.672
25/04/2010,1.681
24/05/2010,1.697
18/06/2010,1.712
24/07/2010,1.729
23/08/2010,1.732
24/09/2010,1.742
21/10/2010,1.751
22/11/2010,1.733
24/12/2010,1.748
22/01/2011,1.749
25/02/2011,1.753
24/03/2011,1.772
24/04/2011,1.768
28/05/2011,1.799
24/06/2011,1.803
22/07/2011,1.808
23/08/2011,1.813
24/09/2011,1.812
19/10/2011,1.815
23/11/2011,1.836
19/12/2011,1.823
23/01/2012,1.803
27/02/2012,1.748
23/03/2012,1.718
23/04/2012,1.722
22/05/2012,1.728
19/06/2012,1.744
24/07/2012,1.755
25/08/2012,1.763
21/09/2012,1.758
30/10/2012,1.758
19/11/2012,1.777
17/12/2012,1.777
19/01/2013,1.678
23/02/2013,1.688
19/03/2013,1.645
20/04/2013,1.626
21/05/2013,1.626
30/05/2013,1.62
30/05/2013,
16/06/2013,1.601
22/07/2013,1.594
23/08/2013,1.596
26/09/2013,1.584
24/10/2013,1.597
21/11/2013,1.608
21/12/2013,1.621
22/01/2014,1.644
16/02/2014,1.657
25/03/2014,1.678
23/04/2014,1.707
22/05/2014,1.726
23/06/2014,1.76
18/07/2014,1.78
17/08/2014,1.8
21/09/2014,1.814
17/10/2014,1.822
20/11/2014,1.836
22/12/2014,1.842
29/01/2015,1.849
22/02/2015,1.854
16/03/2015,1.852
19/04/2015,1.608
19/05/2015,1.593
25/06/2015,1.615
26/07/2015,1.651
21/08/2015,1.666
25/09/2015,1.688
22/10/2015,1.694
27/11/2015,1.701
29/12/2015,1.716
22/01/2016,1.728
26/02/2016,1.76
27/03/2016,1.776
28/04/2016,1.799
29/05/2016,1.855
15/06/2016,1.838
23/07/2016,1.863
26/08/2016,1.879
26/09/2016,1.889
26/10/2016,1.897
26/11/2016,1.905
26/12/2016,1.918
26/01/2017,1.926
25/02/2017,1.881
26/03/2017,1.694
26/04/2017,1.712
26/05/2017,1.744
26/06/2017,1.717
25/07/2017,1.732
25/07/2017,
26/07/2017,1.734
26/08/2017,1.756
26/09/2017,1.776
26/10/2017,1.789
26/11/2017,1.802
26/12/2017,1.815
26/01/2018,1.837
26/02/2018,1.854
26/03/2018,1.872
26/04/2018,1.889
26/05/2018,1.916
26/06/2018,1.939
26/07/2018,1.951
21/08/2018,1.965
26/08/2018,1.965
26/09/2018,1.972
26/10/2018,1.974
26/11/2018,1.974
26/12/2018,1.978
26/01/2019,1.982
27/02/2019,1.521
26/03/2019,1.492
26/04/2019,1.497
26/05/2019,1.514
27/06/2019,1.535
23/07/2019,1.559
19/08/2019,1.589
21/09/2019,1.616
26/10/2019,
21/11/2019,1.649
23/12/2019,1.665
24/01/2020,1.682
22/02/2020,1.695
21/03/2020,1.717
21/04/2020,1.752
23/05/2020,1.789
21/06/2020,1.832
21/07/2020,1.861
21/07/2020,1.865
25/08/2020,1.899
25/08/2020,1.899
23/09/2020,1.745
23/09/2020,1.749
22/10/2020,1.753
22/10/2020,1.753
18/11/2020,1.774
18/11/2020,1.774
21/12/2020,1.796
21/12/2020,1.798
19/01/2021,1.816
19/01/2021,1.816
28/01/2021,1.82
28/01/2021,1.82
26/02/2021,1.839
26/02/2021,1.84
25/03/2021,1.857
25/03/2021,1.857
27/04/2021,1.885
27/04/2021,1.885
05/05/2021,1.892
05/05/2021,1.893
27/06/2021,1.942
22/07/2021,
29/08/2021,1.983
29/08/2021,1.983
22/09/2021,1.993
22/09/2021,1.993
13/10/2021,1.999
13/10/2021,1.999
29/10/2021,2.001
29/10/2021,2.001
15/11/2021,2.007
15/11/2021,2.007
28/11/2021,2.008
28/11/2021,2.008
24/12/2021,2.015
24/12/2021,2.015
16/01/2022,2.019
16/01/2022,2.019
27/01/2022,2.02
27/01/2022,2.02
11/02/2022,2.025
11/02/2022,2.025
27/02/2022,2.029
