Fecha,Pozo L10-1
27/12/2007,0.637
19/01/2008,0.615
02/03/2008,0.653
27/03/2008,0.69
05/05/2008,0.73
24/05/2008,0.712
25/06/2008,0.667
04/08/2008,0.655
25/08/2008,0.648
27/09/2008,0.631
26/10/2008,0.645
06/12/2008,0.659
29/12/2008,1.191
27/01/2009,1.087
23/02/2009,0.975
21/03/2009,0.955
16/04/2009,0.934
17/05/2009,0.91
28/06/2009,0.911
23/07/2009,0.897
23/08/2009,0.9
25/09/2009,0.857
19/10/2009,0.894
25/11/2009,0.896
25/12/2009,0.902
19/01/2010,0.905
28/02/2010,0.932
28/03/2010,0.922
19/04/2010,0.911
24/05/2010,0.857
19/06/2010,0.833
24/07/2010,0.827
23/08/2010,0.816
24/09/2010,0.762
18/10/2010,0.792
25/11/2010,0.783
22/12/2010,0.806
24/01/2011,0.793
27/02/2011,0.804
26/03/2011,0.766
23/04/2011,0.747
28/05/2011,0.714
25/06/2011,0.712
22/07/2011,0.698
24/08/2011,0.654
22/09/2011,0.606
21/10/2011,0.588
22/11/2011,0.617
19/12/2011,0.606
24/01/2012,0.645
25/02/2012,0.604
24/03/2012,0.633
25/04/2012,0.637
27/05/2012,0.578
19/06/2012,0.579
23/07/2012,0.601
22/08/2012,0.57
23/09/2012,0.569
22/10/2012,0.657
18/11/2012,0.578
06/12/2012,0.598
06/12/2012,
17/12/2012,0.635
19/01/2013,0.676
22/02/2013,0.614
19/03/2013,0.631
16/04/2013,0.614
21/05/2013,0.587
30/05/2013,0.6
30/05/2013,
16/06/2013,0.558
27/07/2013,0.538
19/08/2013,0.582
27/09/2013,0.553
24/10/2013,0.561
21/11/2013,0.623
21/12/2013,0.615
22/01/2014,0.619
16/02/2014,0.628
21/03/2014,0.606
23/04/2014,0.597
22/05/2014,0.565
23/06/2014,0.542
18/07/2014,0.532
17/08/2014,0.524
21/09/2014,0.533
16/10/2014,0.544
19/11/2014,0.554
19/12/2014,0.572
19/01/2015,0.6
21/02/2015,0.625
16/03/2015,0.621
26/04/2015,0.501
19/05/2015,0.5
25/06/2015,0.501
19/07/2015,0.499
21/08/2015,0.498
20/09/2015,0.49
31/10/2015,0.5
27/11/2015,0.528
26/12/2015,0.525
25/01/2016,0.562
28/02/2016,0.575
26/03/2016,0.579
24/04/2016,0.552
23/05/2016,0.513
19/06/2016,0.505
27/07/2016,0.492
22/08/2016,0.498
22/09/2016,0.459
22/10/2016,0.461
22/11/2016,0.503
22/12/2016,0.512
22/01/2017,0.53
22/02/2017,0.524
22/03/2017,0.422
22/04/2017,0.429
22/05/2017,0.431
22/06/2017,
22/07/2017,
22/08/2017,
22/09/2017,
30/09/2017,0.437
24/10/2017,0.419
22/11/2017,0.455
22/12/2017,0.479
22/01/2018,0.505
22/02/2018,0.494
22/03/2018,0.477
22/04/2018,0.455
22/05/2018,0.444
22/06/2018,0.435
22/07/2018,0.369
24/07/2018,0.371
21/08/2018,
22/08/2018,0.37
22/09/2018,0.402
22/10/2018,0.413
22/11/2018,0.452
22/12/2018,0.471
22/01/2019,0.49
22/02/2019,
22/03/2019,0.397
28/03/2019,0.397
22/04/2019,
22/05/2019,
28/06/2019,
22/07/2019,
22/08/2019,
22/09/2019,
22/10/2019,
22/11/2019,
22/12/2019,
22/01/2020,
22/02/2020,
22/03/2020,
22/04/2020,
22/05/2020,
22/06/2020,
22/07/2020,
22/08/2020,
22/09/2020,
22/10/2020,
22/11/2020,
22/12/2020,
27/01/2021,1.229
27/01/2021,1.229
26/02/2021,1.254
26/02/2021,1.255
25/03/2021,1.26
25/03/2021,1.26
27/04/2021,1.242
27/04/2021,1.242
31/05/2021,1.213
31/05/2021,1.213
27/06/2021,1.203
30/07/2021,1.195
30/07/2021,1.195
05/08/2021,1.204
29/08/2021,
25/09/2021,1.175
25/09/2021,1.175
14/10/2021,1.163
14/10/2021,1.163
30/10/2021,1.154
30/10/2021,1.154
15/11/2021,1.156
15/11/2021,1.156
27/11/2021,1.141
27/11/2021,1.141
16/12/2021,1.151
16/12/2021,1.15
25/12/2021,1.143
25/12/2021,1.143
16/01/2022,1.147
16/01/2022,1.146
29/01/2022,1.158
29/01/2022,1.157
10/02/2022,1.145
10/02/2022,1.147
28/02/2022,
11/03/2022,1.105
11/03/2022,1.105
27/03/2022,1.081
27/03/2022,1.081
10/04/2022,1.063
10/04/2022,1.062
28/04/2022,1.014
28/04/2022,1.013
09/05/2022,1.018
09/05/2022,1.018
28/05/2022,1.009
28/05/2022,1.008
12/06/2022,1.011
12/06/2022,1.01
26/06/2022,0.913
12/07/2022,0.782
12/07/2022,0.781
31/07/2022,0.753
31/07/2022,0.753
12/08/2022,0.755
12/08/2022,0.755
27/08/2022,0.732
27/08/2022,0.73
10/09/2022,0.712
24/09/2022,0.664
24/09/2022,0.665
11/10/2022,0.65
31/10/2022,0.621
31/10/2022,0.62
11/11/2022,0.625
27/11/2022,0.574
27/11/2022,0.574
11/12/2022,0.624
29/12/2022,0.632
29/12/2022,0.632
12/01/2023,0.621
26/01/2023,0.592
26/01/2023,0.592
08/02/2023,0.636
20/02/2023,0.522
20/02/2023,0.522
25/02/2023,0.556
14/03/2023,0.52
15/03/2023,0.513
30/03/2023,0.478
30/03/2023,0.478
31/03/2023,0.523
28/04/2023,0.454
28/04/2023,0.453
08/05/2023,0.488
14/05/2023,0.507
28/05/2023,0.475
28/05/2023,0.476
11/06/2023,0.481
24/06/2023,0.505
24/06/2023,0.505
08/07/2023,0.504
22/07/2023,0.491
22/07/2023,0.492
13/08/2023,0.503
28/09/2023,
06/10/2023,0.438
28/10/2023,0.448
28/10/2023,0.45
11/11/2023,0.45
11/12/2023,0.468
22/12/2023,0.485
22/12/2023,0.482
07/01/2024,0.493
24/02/2024,0.489
24/02/2024,0.485
09/03/2024,0.507
23/03/2024,0.506
23/03/2024,0.504
13/04/2024,0.493
27/04/2024,0.496
27/04/2024,0.496
11/05/2024,0.492
25/05/2024,0.499
07/06/2024,0.458
23/06/2024,0.437
10/07/2024,0.439
27/07/2024,0.594
09/08/2024,0.717
19/08/2024,0.695
19/08/2024,0.695
30/09/2024,
24/10/2024,0.656
21/11/2024,0.749
28/11/2024,0.783
06/12/2024,0.785
