Fecha,Pozo L10-10
29/10/2007,1.434
05/12/2007,1.435
26/12/2007,1.45
31/01/2008,1.428
02/03/2008,1.429
30/03/2008,1.435
05/05/2008,1.456
28/05/2008,1.445
25/06/2008,1.449
04/08/2008,1.461
25/08/2008,1.459
01/10/2008,1.459
26/10/2008,1.462
30/11/2008,1.463
29/12/2008,1.462
27/01/2009,1.461
26/02/2009,1.468
21/03/2009,1.481
16/04/2009,1.469
18/05/2009,1.474
25/06/2009,1.477
23/07/2009,1.479
18/08/2009,1.473
25/09/2009,1.467
19/10/2009,1.464
24/11/2009,1.46
24/11/2009,
25/11/2009,1.459
25/12/2009,1.463
23/01/2010,1.469
27/02/2010,1.454
29/03/2010,1.458
25/04/2010,1.462
24/05/2010,1.468
18/06/2010,1.472
24/07/2010,1.478
23/08/2010,1.474
24/09/2010,1.471
21/10/2010,1.487
22/11/2010,1.451
24/12/2010,1.478
22/01/2011,1.478
25/02/2011,1.465
24/03/2011,1.487
24/04/2011,1.482
28/05/2011,1.503
24/06/2011,1.495
22/07/2011,1.498
23/08/2011,1.499
24/09/2011,1.492
19/10/2011,1.497
23/11/2011,1.511
19/12/2011,1.502
23/01/2012,1.508
27/02/2012,1.47
25/03/2012,1.469
25/04/2012,1.47
22/05/2012,1.477
19/06/2012,1.482
24/07/2012,1.488
25/08/2012,1.487
21/09/2012,1.482
30/10/2012,1.482
19/11/2012,1.501
17/12/2012,1.506
19/01/2013,1.499
23/02/2013,1.456
21/03/2013,1.452
20/04/2013,1.424
26/05/2013,1.443
30/05/2013,1.43
30/05/2013,
17/06/2013,1.433
22/07/2013,1.414
23/08/2013,1.413
26/09/2013,1.398
24/10/2013,1.399
21/11/2013,1.407
21/12/2013,1.409
22/01/2014,1.425
24/02/2014,1.43
25/03/2014,1.443
23/04/2014,1.456
22/05/2014,1.461
23/06/2014,1.475
18/07/2014,1.481
21/08/2014,1.487
24/09/2014,1.491
17/10/2014,1.5
20/11/2014,1.479
29/12/2014,1.52
29/01/2015,1.525
16/03/2015,1.539
29/04/2015,1.425
31/05/2015,1.42
26/06/2015,1.419
31/07/2015,1.433
27/08/2015,1.439
25/09/2015,1.435
30/10/2015,1.446
28/11/2015,1.453
29/12/2015,1.462
29/01/2016,1.477
26/02/2016,1.489
27/03/2016,1.497
28/04/2016,1.506
29/05/2016,1.519
15/06/2016,1.522
23/07/2016,1.543
26/08/2016,1.539
26/09/2016,1.547
26/10/2016,1.552
26/11/2016,1.555
26/12/2016,1.559
26/01/2017,1.565
25/02/2017,1.455
26/03/2017,
26/04/2017,
26/05/2017,
26/06/2017,
26/07/2017,
26/08/2017,
26/09/2017,1.468
26/10/2017,1.486
28/11/2017,1.493
26/12/2017,1.551
26/01/2018,1.527
26/02/2018,1.54
26/03/2018,1.553
26/04/2018,1.561
26/05/2018,1.575
26/06/2018,
26/07/2018,
26/08/2018,
26/09/2018,
26/10/2018,
26/11/2018,
26/12/2018,
26/01/2019,
26/02/2019,
26/03/2019,
26/04/2019,
26/05/2019,
28/06/2019,
26/07/2019,
26/08/2019,
26/09/2019,
26/10/2019,
26/11/2019,
26/12/2019,
26/01/2020,
26/02/2020,
26/03/2020,
26/04/2020,
26/05/2020,
26/06/2020,
26/07/2020,
26/08/2020,
26/09/2020,
26/10/2020,
26/11/2020,
26/12/2020,
28/01/2021,1.53
28/01/2021,1.531
26/02/2021,1.54
26/02/2021,1.541
25/03/2021,1.551
25/03/2021,1.551
27/04/2021,1.563
27/04/2021,1.563
05/05/2021,1.567
05/05/2021,1.567
27/06/2021,1.585
26/07/2021,
29/08/2021,1.606
29/08/2021,1.606
27/09/2021,1.614
27/09/2021,1.614
13/10/2021,1.619
13/10/2021,1.619
29/10/2021,1.622
29/10/2021,1.622
27/11/2021,
15/12/2021,
29/01/2022,
11/02/2022,
10/03/2022,1.653
10/03/2022,1.654
26/03/2022,1.657
26/03/2022,1.656
09/04/2022,1.657
09/04/2022,1.658
30/04/2022,1.662
30/04/2022,1.662
08/05/2022,1.663
08/05/2022,1.663
27/05/2022,1.667
27/05/2022,1.666
11/06/2022,1.669
11/06/2022,1.669
26/06/2022,1.673
26/06/2022,1.671
11/07/2022,1.673
11/07/2022,1.673
31/07/2022,1.676
31/07/2022,1.676
12/08/2022,
18/08/2022,1.678
18/08/2022,1.679
28/08/2022,1.679
28/08/2022,1.679
11/09/2022,1.679
25/09/2022,1.681
25/09/2022,1.682
12/10/2022,1.682
30/12/2022,
31/01/2023,
31/03/2023,
12/04/2023,1.676
12/05/2023,1.675
26/05/2023,1.683
14/06/2023,1.682
14/06/2023,1.681
23/06/2023,1.686
23/06/2023,1.686
09/07/2023,1.69
09/07/2023,1.689
27/07/2023,1.694
27/07/2023,1.696
11/08/2023,1.695
11/08/2023,1.694
08/09/2023,1.696
08/09/2023,1.695
05/10/2023,1.697
05/10/2023,1.697
30/11/2023,
31/12/2023,
31/01/2024,
29/02/2024,
31/03/2024,
30/04/2024,
24/05/2024,1.719
06/06/2024,1.722
06/06/2024,1.721
22/06/2024,1.725
13/07/2024,1.729
13/07/2024,1.729
08/08/2024,1.735
23/08/2024,1.736
23/08/2024,1.737
30/09/2024,
11/10/2024,1.743
21/10/2024,1.743
30/11/2024,
